k,Longitude,Latitude,Capital Name,State
1,331,4,34.751,
1,331,5,38.31,
1,331,10,54.801,
1,331,15,43.514,
1,331,20,58.481,
1,331,30,65.631,
1,331,40,70.164,
1,331,50,69.479,
2,331,2,23.228,
2,331,3,30,
2,331,4,25.076,
2,331,5,36.534,
2,331,10,40.415,
2,331,15,66.2,
2,331,20,96.361,
2,331,30,112.585,
2,331,40,110.058,
2,331,50,128.594,
4,331,2,12.328,
4,331,3,14.308,
4,331,4,17.536,
4,331,5,22.215,
4,331,10,38.178,
4,331,15,48.676,
4,331,20,52.291,
4,331,30,102.477,
4,331,40,178.197,
4,331,50,149.638,
6,331,2,10.264,
6,331,3,10.174,
6,331,4,17.398,
6,331,5,20.036,
6,331,10,34.515,
6,331,15,40.797,
6,331,20,61.581,
6,331,30,98.317,
6,331,40,128.544,
6,331,50,155.399,
8,331,2,8.745,
8,331,3,9.077,
8,331,4,14.777,
8,331,5,14.937,
8,331,10,33.2,
8,331,15,45.676,
8,331,20,65.61,
8,331,30,86.725,
8,331,40,108.258,
8,331,50,160.992,
